Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,lat,lng
150,환경부(한국자동차환경협회),동양대학교(서편주차장),1,DC콤보,경기도,동두천시,경기도 동두천시 동두천동 289-2,제한없음,동두천동 289-2,37.9335495949091,127.054853702021
151,환경부(한국자동차환경협회),동양컴퓨터학원 앞(공중전화부스),1,DC차데모+AC3상+DC콤보,경기도,성남시,경기도 성남시 중원구 중앙동 1175,제한없음,원구 중앙동 1175,37.4398117548092,127.145633049624
152,환경부(한국자동차환경협회),동탄2수질복원센터,1,DC차데모+AC3상+DC콤보,경기도,화성시,경기도 화성시 동탄면 동탄산단7길 60,제한없음,탄면 동탄산단7길 60,37.1767743701026,127.086433118561
153,환경부(한국자동차환경협회),동탄2수질복원센터,2,DC콤보,경기도,화성시,경기도 화성시 동탄면 동탄산단7길 60,제한없음,탄면 동탄산단7길 60,37.1767743701026,127.086433118561
154,환경부(한국자동차환경협회),동탄2수질복원센터,52,DC콤보,경기도,화성시,경기도 화성시 동탄면 동탄산단7길 60,제한없음,탄면 동탄산단7길 60,37.1767743701026,127.086433118561
155,환경부(한국자동차환경협회),동탄보건지소,21,DC콤보,경기도,화성시,경기도 화성시 석우동 60,제한없음,우동 60,37.2069513150369,127.078460076155
156,환경부(한국자동차환경협회),동탄보건지소,22,DC콤보,경기도,화성시,경기도 화성시 석우동 60,제한없음,우동 60,37.2069513150369,127.078460076155
157,환경부(한국자동차환경협회),동탄호수공원 주차장,1,DC콤보,경기도,화성시,경기도 화성시 송동 727,제한없음,동 727,37.168794063727,127.101666237327
158,환경부(한국자동차환경협회),동편마을 지하주차장,1,DC콤보,경기도,안양시,경기도 안양시 동안구 관양동 1709,제한없음,안구 관양동 1709,37.4082385493312,126.972741516523
159,환경부(한국자동차환경협회),로보파크,1,DC콤보,경기도,부천시,경기도 부천시 평천로 655,제한없음,천로 655,37.5176099577068,126.764051223644
165,환경부(한국자동차환경협회),롯데마트 김포한강점,1,DC차데모+AC3상+DC콤보,경기도,김포시,경기도 김포시 김포한강2로 41,제한없음,포한강2로 41,37.6412701660367,126.677601659359
166,환경부(한국자동차환경협회),롯데마트 김포한강점,2,DC차데모+AC3상+DC콤보,경기도,김포시,경기도 김포시 김포한강2로 41,제한없음,포한강2로 41,37.6412701660367,126.677601659359
167,환경부(한국자동차환경협회),롯데마트 덕소점,1,DC차데모+AC3상+DC콤보,경기도,남양주시,경기도 남양주시 와부읍 월문천로 33 ,제한없음,와부읍 월문천로 33 (덕소리),37.5846972336652,127.214019451022
168,환경부(한국자동차환경협회),롯데마트 동두천점,1,DC차데모+AC3상+DC콤보,경기도,동두천시,경기도 동두천시 평화로 2169번길 21 ,제한없음,평화로 2169번길 21 (송내동),37.8809459052273,127.053136559888
169,환경부(한국자동차환경협회),롯데마트 마석점,1,DC차데모+AC3상+DC콤보,경기도,남양주시,"경기도 남양주시 화도읍 경춘로 1992, 지상주차장 3층 20구역",제한없음,"화도읍 경춘로 1992, 지상주차장 3층 20구역(마석우리 255-24)",37.6501390859317,127.309296047054
170,환경부(한국자동차환경협회),롯데마트 마장휴게소점(통영방향),1,DC차데모+AC3상+DC콤보,경기도,이천시,"경기도 이천시 마장면 중부고속도로 82, 지하주차장 100구역",제한없음,"장면 중부고속도로 82, 지하주차장 100구역(산 13-32)",0,0
172,환경부(한국자동차환경협회),롯데마트 서현점,1,DC차데모+AC3상+DC콤보,경기도,성남시,경기도 성남시 분당구 황새울로311번길 28-0 ,제한없음,당구 황새울로311번길 28-0 (서현동),37.3860323369942,127.120622274882
