Unnamed: 0,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
5950,에버온,군포부곡 1단지,2,AC완속,경기도,군포시,"경기도 군포시 송부로291번길 30 (부곡동, 휴먼시아)103동, 104동 사이 지하1층 주차장 우측 P-02구역",제한없음,"부로291번길 30 (부곡동, 휴먼시아)103동, 104동 사이 지하1층 주차장 우측 P-02구역"
5951,에버온,군포부곡 2단지,1,AC완속,경기도,군포시,"경기도 군포시 송부로291번길 29 (부곡동, 휴먼시아)군포부곡 2단지",제한없음,"부로291번길 29 (부곡동, 휴먼시아)군포부곡 2단지"
5952,에버온,군포부곡 2단지,2,AC완속,경기도,군포시,"경기도 군포시 송부로291번길 29 (부곡동, 휴먼시아)군포부곡 2단지",제한없음,"부로291번길 29 (부곡동, 휴먼시아)군포부곡 2단지"
6002,에버온,금호베스트빌4단지1,1,AC완속,경기도,용인시,"경기도 용인시 수지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)",제한없음,"지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)"
6003,에버온,금호베스트빌4단지1,2,AC완속,경기도,용인시,"경기도 용인시 수지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)",제한없음,"지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)"
6004,에버온,금호베스트빌4단지2,1,AC완속,경기도,용인시,"경기도 용인시 수지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)",제한없음,"지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)"
6005,에버온,금호베스트빌4단지2,2,AC완속,경기도,용인시,"경기도 용인시 수지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)",제한없음,"지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)"
6006,에버온,금호베스트빌4단지2,3,AC완속,경기도,용인시,"경기도 용인시 수지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)",제한없음,"지구 상현로 67-12 (상현동, 상현마을 금호베스트빌 4단지)"
6007,에버온,금화마을주공4단지1,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",제한없음,"흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)"
6008,에버온,금화마을주공4단지1,2,AC완속,경기도,용인시,"경기도 용인시 기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",제한없음,"흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)"
6009,에버온,금화마을주공4단지2,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",제한없음,"흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)"
6010,에버온,금화마을주공4단지2,2,AC완속,경기도,용인시,"경기도 용인시 기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",제한없음,"흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)"
6011,에버온,금화마을주공4단지3,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",제한없음,"흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)"
6012,에버온,금화마을주공4단지3,2,AC완속,경기도,용인시,"경기도 용인시 기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",제한없음,"흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)"
6013,에버온,기배동주민센터,1,AC완속,경기도,화성시,경기도 화성시 기안남로 62(기배동 행정복지센터),제한없음,안남로 62(기배동 행정복지센터)
6014,에버온,기흥동부아파트,1,AC완속,경기도,용인시,경기도 용인시 기흥구 구갈로28번길 30 (구갈동)실외 기계실옆,제한없음,흥구 구갈로28번길 30 (구갈동)실외 기계실옆
6015,에버온,기흥동행정복지센터,1,AC완속,경기도,용인시,경기도 용인시 기흥구 고매로43번길 12-14(191-3 기흥동행정복지센터),제한없음,흥구 고매로43번길 12-14(191-3 기흥동행정복지센터)
6016,에버온,기흥파크뷰 1,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6017,에버온,기흥파크뷰 1,2,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6018,에버온,기흥파크뷰 1,3,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6019,에버온,기흥파크뷰 2,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6020,에버온,기흥파크뷰 2,2,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6021,에버온,기흥파크뷰 2,3,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6022,에버온,기흥파크뷰 3,1,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6023,에버온,기흥파크뷰 3,2,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
6024,에버온,기흥파크뷰 3,3,AC완속,경기도,용인시,"경기도 용인시 기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",제한없음,"흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)"
