,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
1559,한국전기차충전서비스,덕풍공원 제2공영주차장,2,DC차데모+AC3상+DC콤보,경기도,하남시,경기도 하남시 덕풍공원로100,제한없음,풍공원로100
1560,한국전기차충전서비스,도척면행정복지센터,1,DC차데모+AC3상+DC콤보,경기도,광주시,경기도 광주시 도척면 노곡로 20(58-14 도척면행정복지센터),제한없음,척면 노곡로 20(58-14 도척면행정복지센터)
1561,한국전기차충전서비스,동두천관광호텔,1,DC차데모+AC3상+DC콤보,경기도,동두천시,경기도 동두천시 평화로 2497(548-5 동두천관광호텔),제한없음,평화로 2497(548-5 동두천관광호텔)
1562,한국전기차충전서비스,동두천관광호텔,2,AC완속,경기도,동두천시,경기도 동두천시 평화로 2497(548-5 동두천관광호텔),제한없음,평화로 2497(548-5 동두천관광호텔)
1563,한국전기차충전서비스,동두천시_생연2동행정복지센터,1,AC완속,경기도,동두천시,경기도 동두천시 생연로 95 (생연동),제한없음,생연로 95 (생연동)
1564,한국전기차충전서비스,동두천시청,1,DC차데모+AC3상+DC콤보,경기도,동두천시,경기도 동두천시 방죽로23,제한없음,방죽로23
1565,한국전기차충전서비스,동두천시청,2,AC완속,경기도,동두천시,경기도 동두천시 방죽로23,제한없음,방죽로23
1566,한국전기차충전서비스,동백동주민센터,1,DC차데모+AC3상+DC콤보,경기도,용인시,경기도 용인시 기흥구 동백중앙로 214(866-1 동백2동행정복지센터),제한없음,흥구 동백중앙로 214(866-1 동백2동행정복지센터)
1567,한국전기차충전서비스,동원대학교,1,AC완속,경기도,광주시,경기도 광주시 곤지암읍 경충대로 26(공학관/대학본부/새천년관),제한없음,지암읍 경충대로 26(공학관/대학본부/새천년관)
1568,한국전기차충전서비스,동원대학교,2,AC완속,경기도,광주시,경기도 광주시 곤지암읍 경충대로 26(공학관/대학본부/새천년관),제한없음,지암읍 경충대로 26(공학관/대학본부/새천년관)
1569,한국전기차충전서비스,동원대학교,3,AC완속,경기도,광주시,경기도 광주시 곤지암읍 경충대로 26(공학관/대학본부/새천년관),제한없음,지암읍 경충대로 26(공학관/대학본부/새천년관)
1570,한국전기차충전서비스,동원대학교,4,AC완속,경기도,광주시,경기도 광주시 곤지암읍 경충대로 26(공학관/대학본부/새천년관),제한없음,지암읍 경충대로 26(공학관/대학본부/새천년관)
1571,한국전기차충전서비스,뒷골6공영주차장,1,DC차데모+AC3상+DC콤보,경기도,과천시,경기도 과천시 과천동369-6,제한없음,천동369-6
1572,한국전기차충전서비스,디테라스,1,AC완속,경기도,성남시,경기도 성남시 분당구 판교로319번길 13 (삼평동),제한없음,당구 판교로319번길 13 (삼평동)
1573,한국전기차충전서비스,디테라스,2,AC완속,경기도,성남시,경기도 성남시 분당구 판교로319번길 13 (삼평동),제한없음,당구 판교로319번길 13 (삼평동)
1574,한국전기차충전서비스,럭키모텔,1,AC완속,경기도,여주시,경기도 여주시 대신면 여양로 1560,제한없음,신면 여양로 1560
1575,한국전기차충전서비스,럭키모텔,2,AC완속,경기도,여주시,경기도 여주시 대신면 여양로 1560,제한없음,신면 여양로 1560
1576,한국전기차충전서비스,롤링힐스호텔,1,AC완속,경기도,화성시,경기도 화성시 남양읍 시청로 290(롤링힐스 호텔),제한없음,양읍 시청로 290(롤링힐스 호텔)
1577,한국전기차충전서비스,롤링힐스호텔,2,AC완속,경기도,화성시,경기도 화성시 남양읍 시청로 290(롤링힐스 호텔),제한없음,양읍 시청로 290(롤링힐스 호텔)
1578,한국전기차충전서비스,롯데마트 경기양평점,1,DC차데모+DC콤보,경기도,양평군,경기도 양평군 양평읍 남북로 76(468-33 롯데마트),제한없음,평읍 남북로 76(468-33 롯데마트)
1579,한국전기차충전서비스,롯데마트 구리점(사용안함),1,DC차데모+AC3상+DC콤보,경기도,구리시,경기도 구리시 동구릉로136번길 57,제한없음,구릉로136번길 57
1580,한국전기차충전서비스,롯데마트 선부점,1,DC차데모+AC3상+DC콤보,경기도,안산시,경기도 안산시 단원구 달미로 64,제한없음,원구 달미로 64
