운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한
휴맥스이브이,오산세교자이아파트,10,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,11,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,12,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,13,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,14,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,15,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,16,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,17,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,18,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,19,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,20,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,21,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,22,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,23,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,24,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,오산세교자이아파트,25,AC완속,경기도,오산시,경기도 오산시 삼미로 34(895 오산대역세교자이),제한없음
휴맥스이브이,용인 더숨포레스트,1,AC완속,경기도,용인시,경기도 용인시 처인구 포곡읍 성산로 633(전대리 473-13),제한없음
휴맥스이브이,용인 더숨포레스트,2,AC완속,경기도,용인시,경기도 용인시 처인구 포곡읍 성산로 633(전대리 473-13),제한없음
휴맥스이브이,용인신갈푸르지오,1,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,2,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,3,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,4,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,5,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,6,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,7,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인신갈푸르지오,8,AC완속,경기도,용인시,경기도 용인시 기흥구 기흥로116번길 77(691 산양마을푸르지오),제한없음
휴맥스이브이,용인한숲시티4단지,1,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,용인한숲시티4단지,2,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,용인한숲시티4단지,3,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,용인한숲시티4단지,4,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,용인한숲시티4단지,5,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,용인한숲시티4단지,6,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,용인한숲시티4단지,7,AC완속,경기도,용인시,경기도 용인시 처인구 남사읍 한숲로 124(용인 한숲시티),제한없음
휴맥스이브이,우림그린빌리지,1,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,2,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,3,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,4,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,5,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,6,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,7,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,8,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,9,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,우림그린빌리지,10,AC완속,경기도,화성시,경기도 화성시 효행로265번길 17(349 우림그린빌리지),제한없음
휴맥스이브이,운암2단지,1,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,2,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,3,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,4,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,5,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,6,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,7,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,8,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,9,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,10,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,11,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,12,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,13,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,14,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,15,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,16,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,17,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,18,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,19,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,20,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,21,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,운암2단지,22,AC완속,경기도,오산시,경기도 오산시 운암로 89(오산운암2단지 주공아파트),제한없음
휴맥스이브이,원대마을한신,1,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),제한없음
휴맥스이브이,원대마을한신,2,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),제한없음
휴맥스이브이,원대마을한신,3,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),제한없음
휴맥스이브이,원대마을한신,4,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),제한없음
휴맥스이브이,원대마을한신,5,AC완속,경기도,용인시,경기도 용인시 기흥구 신갈로 102(원대마을 신갈한신아파트),제한없음
